run,event_number,shower_start_sf,sum_hit_density_w_sf,sum_qdc_sf,max_qdc_per_sf_plane,n_hits_sf,max_n_hits_per_sf_plane
6237,92132611,-1,132,49.860000755637884,15.75999990105629,32,8
6237,95258486,-1,157,28.13999990746379,18.35000029951334,35,11
6237,96837612,1,493,-5.629999997094274,11.640000015497208,47,19
6237,97222355,-1,166,32.95999978855252,18.799999497830868,34,14
6246,4121561,-1,229,10.54999909363687,8.939999878406525,34,9
6246,4601815,-1,428,66.64999993890524,21.570000059902668,54,17
6246,5885373,1,1211,21.369999496266246,22.49000024050474,56,33
6246,6732115,-1,134,20.96999990940094,15.150000035762787,32,9
6246,9984305,-1,389,108.25999972969294,25.59999992698431,47,17
6246,10316911,1,3758,113.46999854780734,101.72999913804233,100,53
6246,11506139,-1,351,46.36999938078225,17.699999867007136,41,11
6246,11992595,-1,209,40.42000004649162,21.640000194311142,37,14
6246,14593483,-1,174,43.88999960385263,19.899999678134918,29,8
6246,19473322,4,351,41.93999984115362,17.26999957114458,36,13
6246,21060373,-1,258,35.57000087574124,14.590000092983246,39,10
6246,21383273,-1,228,40.60000083222985,12.569999992847443,35,10
6246,22998500,-1,278,39.99000034853816,17.770000480115414,34,10
6246,31351983,4,535,38.64999864064157,16.029999531805515,47,13
6246,39702302,2,1758,62.99999975785613,36.39999967813492,86,39
6246,41224976,-1,128,17.57000015489757,6.400000125169754,29,8
6246,45459450,-1,254,25.079999830573797,11.839999802410603,32,11
6246,47014332,3,749,56.570000475272536,20.630000054836273,62,23
6246,48469802,-1,399,28.480000149458647,12.130000054836273,57,21
6246,48541862,-1,302,-5.4599993750452995,11.869999825954437,40,15
6246,52561256,-1,222,41.8300003297627,18.92000012472272,39,9
6246,53244890,-1,407,43.429999493062496,24.389999955892563,49,17
6246,55232793,1,389,33.499999828636646,17.42000024020672,44,15
6246,67357715,3,593,18.6500005107373,10.70000028423965,41,14
6246,68519468,5,1046,8.360000284388661,13.450000174343586,71,34
6246,69601400,3,742,80.52000045776367,46.97000016272068,52,20
6246,74010276,-1,172,21.659999147057533,15.10999970138073,31,9
